stop_name,stop_lat,stop_lon,parent_station,municipality
Alewife,42.395428,-71.142483,place-alfcl,Cambridge
Allston Street,42.348649,-71.137881,place-alsgr,Boston
Andrew,42.330154,-71.057655,place-andrw,Boston
Airport,42.374262,-71.030395,place-aport,Boston
Aquarium,42.359784,-71.051652,place-aqucl,Boston
Arlington,42.351902,-71.070893,place-armnl,Boston
Ashmont,42.284239,-71.063601,place-asmnl,Boston
Assembly,42.392811,-71.077257,place-astao,Somerville
Babcock Street,42.351776,-71.12153,place-babck,Boston
Back Bay,42.34735,-71.075727,place-bbsta,Boston
Back of the Hill,42.329369,-71.111046,place-bckhl,Boston
Beaconsfield,42.335809,-71.140841,place-bcnfd,Brookline
Washington Square,42.339471,-71.135139,place-bcnwa,Brookline
Blandford Street,42.349165,-71.099821,place-bland,Boston
Beachmont,42.397542,-70.992319,place-bmmnl,Revere
Brandon Hall,42.340053,-71.128869,place-bndhl,Brookline
Bowdoin,42.361365,-71.062037,place-bomnl,Boston
Boylston,42.352531,-71.064682,place-boyls,Boston
Broadway,42.342622,-71.056967,place-brdwy,Boston
Packards Corner,42.351891,-71.125067,place-brico,Boston
Brookline Hills,42.331238,-71.127012,place-brkhl,Brookline
Brigham Circle,42.334331,-71.104487,place-brmnl,Boston
Braintree,42.208371,-71.001423,place-brntn,Braintree
Boston University Central,42.350013,-71.106902,place-bucen,Boston
Boston University East,42.349659,-71.103989,place-buest,Boston
Butler,42.272343,-71.062585,place-butlr,Boston
Boston University West,42.350765,-71.113133,place-buwst,Boston
Brookline Village,42.332838,-71.116234,place-bvmnl,Brookline
Capen Street,42.267712,-71.087751,place-capst,Milton
Community College,42.373622,-71.069533,place-ccmnl,Boston
Cedar Grove,42.27968,-71.060434,place-cedgr,Boston
Central Avenue,42.270027,-71.073337,place-cenav,Milton
Chestnut Hill,42.326633,-71.165299,place-chhil,Newton
Chestnut Hill Avenue,42.33873,-71.152526,place-chill,Boston
Charles/MGH,42.361166,-71.070628,place-chmnl,Boston
Chinatown,42.352547,-71.062752,place-chncl,Boston
Chiswick Road,42.340808,-71.150633,place-chswk,Boston
Cleveland Circle,42.336216,-71.149201,place-clmnl,Boston
Central,42.365304,-71.103621,place-cntsq,Cambridge
Copley,42.349871,-71.078049,place-coecl,Boston
Coolidge Corner,42.342274,-71.120915,place-cool,Brookline
Davis,42.39674,-71.121815,place-davis,Somerville
Dean Road,42.337807,-71.141753,place-denrd,Brookline
Downtown Crossing,42.355518,-71.060225,place-dwnxg,Boston
Eliot,42.318957,-71.216776,place-eliot,Newton
Englewood Avenue,42.336964,-71.145867,place-engav,Brookline
Fairbanks Street,42.33969,-71.131228,place-fbkst,Brookline
Fenwood Road,42.33374,-71.105721,place-fenwd,Boston
Fenway,42.345362,-71.104162,place-fenwy,Boston
Fields Corner,42.300093,-71.061667,place-fldcr,Boston
Forest Hills,42.300523,-71.113686,place-forhl,Boston
Government Center,42.359705,-71.059215,place-gover,Boston
Griggs Street,42.348747,-71.1345,place-grigg,Boston
Green Street,42.310525,-71.107414,place-grnst,Boston
Haymarket,42.363021,-71.05829,place-haecl,Boston
Harvard,42.373362,-71.118956,place-harsq,Cambridge
Harvard Avenue,42.350263,-71.131298,place-harvd,Boston
Heath Street,42.328316,-71.110252,place-hsmnl,Boston
Hawes Street,42.344758,-71.111761,place-hwsst,Brookline
Hynes Convention Center,42.347888,-71.087903,place-hymnl,Boston
Jackson Square,42.323132,-71.099592,place-jaksn,Boston
JFK/UMass,42.320685,-71.052391,place-jfk,Boston
Kenmore,42.348949,-71.095169,place-kencl,Boston
Kendall/MIT,42.362355,-71.085605,place-knncl,Cambridge
Kent Street,42.344117,-71.114097,place-kntst,Brookline
Boston College,42.340149,-71.167029,place-lake,Boston
Longwood Medical Area,42.33608,-71.099883,place-lngmd,Boston
Longwood,42.341123,-71.110393,place-longw,Brookline
Massachusetts Avenue,42.341512,-71.083423,place-masta,Boston
Mattapan,42.267528,-71.09205,place-matt,Boston
Museum of Fine Arts,42.337875,-71.09524,place-mfa,Boston
Milton,42.270305,-71.067674,place-miltt,Milton
Mission Park,42.333279,-71.109276,place-mispk,Boston
Malden Center,42.426632,-71.07411,place-mlmnl,Malden
Maverick,42.369119,-71.03953,place-mvbcl,Boston
Newton Highlands,42.321687,-71.206063,place-newtn,Newton
Newton Centre,42.329338,-71.192388,place-newto,Newton
North Station,42.365577,-71.06129,place-north,Boston
North Quincy,42.275275,-71.029583,place-nqncy,Quincy
Northeastern University,42.339897,-71.09021,place-nuniv,Boston
Oak Grove,42.43668,-71.071097,place-ogmnl,Malden
Orient Heights,42.386867,-71.004736,place-orhte,Boston
Park Street,42.356395,-71.062424,place-pktrm,Boston
Pleasant Street,42.351445,-71.118753,place-plsgr,Boston
Porter,42.3884,-71.119149,place-portr,Cambridge
Prudential,42.34557,-71.081696,place-prmnl,Boston
Quincy Adams,42.233391,-71.007153,place-qamnl,Quincy
Quincy Center,42.251809,-71.005409,place-qnctr,Quincy
Revere Beach,42.407843,-70.992533,place-rbmnl,Revere
Roxbury Crossing,42.331397,-71.095451,place-rcmnl,Boston
Riverside,42.337283,-71.252385,place-river,Newton
Reservoir,42.334916,-71.149064,place-rsmnl,Brookline
Ruggles,42.336377,-71.088961,place-rugg,Boston
Riverway,42.331391,-71.111925,place-rvrwy,Boston
Stony Brook,42.317062,-71.104248,place-sbmnl,Boston
Suffolk Downs,42.390501,-70.997123,place-sdmnl,Boston
Savin Hill,42.31129,-71.053331,place-shmnl,Boston
Saint Marys Street,42.345884,-71.107697,place-smary,Brookline
Shawmut,42.293126,-71.065738,place-smmnl,Boston
South Street,42.339371,-71.157057,place-sougr,Boston
South Station,42.352271,-71.055242,place-sstat,Boston
State,42.358978,-71.057598,place-state,Boston
Sutherland Road,42.341589,-71.146089,place-sthld,Boston
Saint Paul Street,42.35111,-71.116014,place-stplb,Boston
Saint Paul Street,42.34334,-71.116927,place-stpul,Brookline
Sullivan Square,42.383975,-71.076994,place-sull,Boston
Summit Avenue,42.34112,-71.125652,place-sumav,Brookline
Symphony,42.342687,-71.085056,place-symcl,Boston
Tappan Street,42.338498,-71.138731,place-tapst,Brookline
Tufts Medical Center,42.349662,-71.063917,place-tumnl,Boston
Valley Road,42.268322,-71.081568,place-valrd,Milton
Waban,42.325899,-71.230805,place-waban,Newton
Washington Street,42.344329,-71.142385,place-wascm,Boston
Wellington,42.40237,-71.077082,place-welln,Medford
Wood Island,42.37964,-71.022865,place-wimnl,Boston
Wollaston,42.266514,-71.020337,place-wlsta,Quincy
Wonderland,42.413513,-70.991737,place-wondl,Revere
Woodland,42.333339,-71.244333,place-woodl,Newton
Warren Street,42.348285,-71.140436,place-wrnst,Boston
